,Date,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Continent,Weapon Type,Fight Ended,Mortality
854,1858.0,Thrust,Torso,Ineffective,unspecified,Horse,Asia,Sword_cutting,False,False
855,1858.0,Thrust,Torso,Ineffective,Ineffective,Horse,Asia,Polearm,False,False
856,1858.0,Cut,Hand,Ineffective,Ineffective,Horse,Asia,Sword_cutting,False,False
857,1858.0,Thrust,Torso,Ineffective,Ineffective,Horse,Asia,Sword_cutting,False,False
858,1858.0,Cut,Head,Death,,Foot vs Horse,Asia,Sword_cutting,True,True
859,1858.0,Cut,Head,Death,,Foot,Asia,Sword_cutting,True,True
860,1858.0,Cut,Head,Incapacitation,Incapacitation,Horse,Asia,Sword_cutting,True,False
861,1858.0,Thrust,Head,Incapacitation,Incapacitation,Horse,Asia,Sword_cutting,True,False
862,1858.0,Cut,Head,Incapacitation,Incapacitation,Horse,Asia,Sword_cutting,True,False
863,1858.0,Cut,Hand,Incapacitation,Ineffective,Foot,Asia,Sword_cutting,True,False
864,1858.0,Thrust,Torso,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
865,1858.0,Thrust,unspecified,Death,,Horse,Asia,Sword_cutting,True,True
866,1858.0,Thrust,unspecified,Death,,Horse,Asia,Sword_cutting,True,True
867,1858.0,Thrust,unspecified,Death,,Horse,Asia,Sword_cutting,True,True
868,1858.0,Cut,Head,Incapacitation,Incapacitation,Horse,Asia,Sword_cutting,True,False
869,1858.0,Cut,Head,Ineffective,Ineffective,Horse,Asia,Sword_cutting,False,False
870,1858.0,Cut,Torso,Ineffective,Ineffective,Horse,Asia,Sword_cutting,False,False
871,1858.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Asia,Sword_cutting,True,False
872,1858.0,Cut,Head,Death,,Foot vs Horse,Asia,Sword_cutting,True,True
873,1858.0,Cut,Head,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
874,1858.0,Thrust,Torso,Death,,Foot,Asia,Sword_cutting,True,True
875,1858.0,Cut,Hand,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
876,1858.0,Cut,Head,Death,,Foot,Asia,Sword_cutting,True,True
877,1858.0,Cut,Torso,Death,,Foot,Asia,Sword_cutting,True,True
878,1858.0,Thrust,Torso,Ineffective,Death,Foot,Asia,Polearm,False,True
879,1858.0,Cut,Various,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
880,1858.0,Cut,Hand,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
881,1858.0,Strike,unspecified,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
882,1858.0,Cut,Head,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
883,1858.0,Cut,Leg,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
884,1858.0,Cut,Leg,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
885,1858.0,Cut,Torso,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
886,1858.0,Thrust,Torso,Incapacitation,Ineffective,Foot vs Horse,Asia,Sword_cutting,True,False
887,1858.0,Cut,Leg,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
888,1858.0,Cut,Head,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
889,1858.0,Cut,Head,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
890,1858.0,Thrust,Torso,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
